"Episode","Step","State","Demand","Action","Next_State","Reward","Penalty","Done","Existing_Policy"
19,15,49,17,10,42,139,61,FALSE,"Order Low"
19,16,29,34,0,0,170,30,FALSE,"Order Medium"
19,17,35,22,10,23,148.5,51.5,FALSE,"Order High"
19,18,24,30,40,34,107,93,FALSE,"Order Low"
19,19,55,40,30,45,137.5,62.5,FALSE,"Order Low"
19,20,69,40,10,39,140.5,59.5,FALSE,"Order Medium"
19,21,52,7,30,75,122.5,77.5,FALSE,"Order Medium"
19,22,35,29,20,26,147,53,FALSE,"Order Low"
19,23,47,15,30,62,129,71,FALSE,"Order Medium"
19,24,68,34,20,54,133,67,FALSE,"Order Low"
19,25,31,20,0,11,194.5,5.5,TRUE,"Order High"
20,1,72,15,20,77,121.5,78.5,FALSE,"Order High"
20,2,47,36,40,51,134.5,65.5,FALSE,"Order Medium"
20,3,21,35,40,26,63,137,FALSE,"Order Low"
20,4,69,6,10,73,123.5,76.5,FALSE,"Order Medium"
20,5,31,26,40,45,137.5,62.5,FALSE,"Order Low"
20,6,66,21,0,45,177.5,22.5,FALSE,"Order Low"
20,7,70,9,30,91,114.5,85.5,FALSE,"Order Low"
20,8,72,19,0,53,173.5,26.5,FALSE,"Order High"
20,9,25,36,20,9,89.5,110.5,FALSE,"Order Low"
20,10,35,39,10,6,133,67,FALSE,"Order Medium"
20,11,77,31,20,66,127,73,FALSE,"Order Medium"
20,12,34,26,10,18,151,49,FALSE,"Order Low"
20,13,38,29,0,9,195.5,4.5,FALSE,"Order High"
20,14,78,19,20,79,120.5,79.5,FALSE,"Order Low"
20,15,22,39,40,23,46.5,153.5,FALSE,"Order Medium"
20,16,65,34,40,71,124.5,75.5,FALSE,"Order High"
20,17,52,38,20,34,143,57,FALSE,"Order Low"
20,18,75,9,40,106,107,93,FALSE,"Order Low"
20,19,52,9,0,43,178.5,21.5,FALSE,"Order Medium"
20,20,67,11,0,56,172,28,FALSE,"Order Medium"
20,21,30,6,0,24,188,12,FALSE,"Order High"
20,22,55,20,0,35,182.5,17.5,FALSE,"Order Medium"
20,23,75,27,40,88,116,84,FALSE,"Order High"
20,24,63,27,40,76,122,78,FALSE,"Order Medium"
20,25,64,28,40,76,122,78,TRUE,"Order Low"
